Mrk1073       ;  ; 29.30; 0.95; ;  56.60; 0.94; ; 31.30; 0.51; ;  70.60; 0.61; ; 31.90; 7.31; ; 34.62; 1.79; ; 138.00; 1.70; ;  49.50; 4.08; ;  82.20; 6.07;HR   ;9,47            ;
NGC1266       ; <;  2.22;     ; ;  20.90; 0.80;<;  0.80;     ; ;   5.30; 0.70; ;  1.47; 0.54;<;  2.90;     ;<;   6.60;     ; ;   3.75; 1.14; ;   4.99; 0.58;HR   ;17,7            ;
NGC1275       ; <;  1.63;     ; ;  46.10; 0.80;<;  1.16;     ; ;  22.40; 0.56; ;  8.31; 3.64;<;  3.03;     ; ;   7.00; 2.44;<;   7.24;     ; ;  57.30; 7.50;HR   ;9,47            ;
Mrk609        ; <;  2.22;     ; ;  21.30; 0.62; ;  3.87; 0.43; ;   5.67; 0.25;<;  8.66;     ;<;  1.10;     ; ;   8.24; 2.57; ;  15.20; 7.36; ;  36.30; 1.30;HR+LR;9,47,34,11      ;
NGC1365       ;  ; 18.60; 0.78; ; 143.00; 3.79; ; 19.10; 0.61; ;  61.30; 0.51; ; 51.20; 0.57; ; 97.50;13.20; ; 365.00;26.90; ; 720.00;02.00; ;1303.00;81.00;HR   ;10,11,12,13     ;
NGC1386       ;  ; 23.30; 1.09; ;  17.80; 1.02; ; 34.50; 1.01; ;  36.60; 0.72; ; 18.70; 0.77; ; 35.00; 0.73; ; 106.00; 0.96; ;  31.00; 1.90; ;  32.80; 2.06;HR   ;41              ;
IRAS03450+0055;  ;  1.96; 0.25; ;   1.09; 0.25;<;  1.48;     ; ;   1.82; 0.25; ;      ;     ;<;  1.88;     ; ;   2.52; 0.30; ;   1.54; 0.47;<;   4.50;     ;HR   ;41              ;
IRAS04103-2838;  ;  1.20; 0.10; ;  11.00; 0.10; ;  2.50; 0.07; ;   7.50; 0.07; ;  3.10; 0.19; ;  3.10; 0.22; ;   4.30; 0.22; ;       ;     ; ;       ;     ;HR   ;43              ;
ESO420-G13    ;  ;  7.48; 0.93; ; 115.00; 4.18; ; 11.60; 0.86; ;  25.64; 1.24; ; 42.94; 2.51; ; 15.50; 1.95; ;  51.20; 3.37; ;  81.60;11.20; ; 135.10;15.00;HR   ;47,30           ;
3C120         ;  ; 24.10; 0.86; ;   7.84; 0.63; ; 16.60; 0.89; ;  27.60; 0.93; ;  7.34; 1.48; ; 29.00; 0.62; ; 123.00; 0.76; ;  17.30; 1.93; ;  36.30; 3.02;HR   ;41,44,9         ;
MCG-05-12-006 ; <;  0.97;     ; ;  50.52; 0.72;<;  0.95;     ; ;   4.87; 0.55; ; 14.75; 1.05; ;      ;     ;<;   2.58;     ; ;  15.39; 2.25; ;  34.74; 3.41;HR   ;22              ;
Zw468.002NED01;  ;  2.88; 0.30; ;   7.52; 0.47; ;  2.44; 0.29; ;   6.45; 0.39; ;  5.28; 0.62; ;      ;     ; ;   8.95; 0.30; ;   6.97; 0.62; ;  14.74; 2.14;HR   ;22              ;
Zw468.002NED02; <;  1.11;     ; ;  35.13; 0.53;<;  0.88;     ; ;   5.09; 0.24; ; 10.05; 0.57; ;      ;     ;<;   2.00;     ; ;  18.82; 2.53; ;  34.07; 5.86;HR   ;22,30           ;
IRAS05189-2524;  ;  5.84; 0.30; ;  17.95; 1.33; ; 12.86; 0.58; ;  17.60; 0.35; ;  5.54; 0.69; ; 10.01; 3.63; ;  26.29; 1.77;<;   8.33;     ;<;  19.67;     ;HR   ;22,43,9,4,18,47 ;
NGC1961       ;  ;  0.32; 0.24; ;   8.41; 0.36;<;  0.40;     ; ;   2.32; 0.17; ;  2.66; 0.24; ;      ;     ; ;   0.62; 0.29; ;   9.18; 0.17; ;  17.49; 1.29;HR   ;22,17           ;
UGC3351       ; <;  1.25;     ; ;  47.35; 0.92;<;  1.01;     ; ;   7.72; 0.30; ; 10.21; 0.74; ;      ;     ; ;   1.43; 0.42; ;  43.09; 2.24; ;  83.93; 2.50;HR   ;22,26           ;
ESO005-G04    ;  ;      ;     ; ;  16.64; 1.19; ;  0.50; 0.12; ;   5.29; 0.34; ;      ;     ;<;  0.49;     ; ;   4.49; 0.19; ;       ;     ; ;       ;     ;HR   ;44              ;
Mrk3          ;  ; 59.30; 0.62; ;  98.00; 1.02; ; 63.30; 0.75; ; 175.00; 1.10; ; 53.60; 4.49; ; 61.20; 3.44; ; 196.00; 2.40; ;  52.40; 6.89; ;  84.60; 3.28;HR   ;9,23,47         ;
IRASF06361-621; <;  0.27;     ; ;   3.68; 0.20;<;  0.22;     ; ;   0.96; 0.18; ;  0.78; 0.29;<;  0.67;     ;<;   0.64;     ; ;       ;     ; ;       ;     ;HR   ;47              ;
Mrk620        ;  ;  3.73; 0.40; ;  42.80; 4.30; ;  4.74; 0.50; ;  19.50; 0.20; ;      ;     ; ;      ;     ; ;       ;     ; ;       ;     ; ;       ;     ;HR   ;23,26           ;
IRAS07027-6011;  ;  2.62; 0.43; ;  13.40; 1.83; ;  2.38; 0.38; ;   9.54; 0.89; ;  5.77; 1.24;<;  4.21;     ; ;   4.65; 1.88; ;   7.78; 2.93;<;  19.45;     ;HR   ;47,30           ;
AM0702-601NED0; <;  0.60;     ; ;  50.20; 4.14;<;  0.61;     ; ;   5.33; 0.44; ; 17.00; 2.93;<;  1.19;     ;<;   1.06;     ; ;  27.60; 4.80; ;  57.80;10.40;HR   ;47              ;
Mrk9          ;  ;  2.37; 0.23; ;   3.23; 0.20; ;  2.21; 0.22; ;   1.90; 0.20; ;  2.38; 0.50; ;  2.24; 0.19; ;   5.55; 0.21; ;   3.90; 0.49; ;   7.32; 0.77;HR   ;40,11           ;
IRAS07598+6508; <;  0.66;     ; ;   3.92; 0.40;<;  0.75;     ; ;   2.45; 0.24;<;  1.90;     ;<;  3.00;     ;<;   1.80;     ; ;       ;     ; ;       ;     ;HR   ;18,43           ;
Mrk622        ; <;  0.86;     ; ;   9.73; 1.38;<;  3.81;     ; ;   4.93; 0.28;<;  1.18;     ;<;  3.01;     ;<;   3.74;     ;<;   6.60;     ; ;  11.81; 1.97;HR   ;9,47            ;
IRAS08311-2459;  ;  8.70; 1.74; ;  24.29; 2.40; ; 12.34; 1.30; ;  22.53; 2.25; ; 11.43; 1.14; ;  9.81; 0.98; ;  26.30; 2.60; ;  18.40; 3.70; ;       ;     ;HR   ;18              ;
IRAS09104+4109;  ;      ;     ; ;       ;     ; ;      ;     ; ;       ;     ; ;      ;     ; ;      ;     ; ;       ;     ; ;       ;     ; ;       ;     ;     ;47,c            ;
3C218         ; <;  0.20;     ; ;   1.78; 0.08; ;      ;     ; ;   0.78; 0.17;<;  0.50;     ; ;      ;     ; ;   1.00; 0.20; ;   0.93; 0.26; ;       ;     ;LR   ;25,13,15        ;
MCG-01-24-012 ;  ;  2.33; 0.39; ;   6.74; 0.41; ;  2.90; 0.27; ;   6.07; 0.36; ;  2.05; 0.56; ;  2.30; 0.58; ;  10.07; 0.77; ;   3.03; 1.60; ;   6.31; 1.72;HR   ;44,47           ;
NGC2841       ; <;  1.64;     ; ;   4.50; 0.45;<;  0.40;     ; ;   5.40; 0.54; ;  3.42; 0.63;<;  0.31;     ; ;   0.70; 0.07; ;   4.88; 0.29; ;  10.98; 0.44;HR   ;17,7            ;
Mrk705        ;  ;  1.82; 1.01; ;   5.23; 0.19; ;  3.02; 0.17; ;   4.60; 0.21; ;  2.69; 0.98; ;  1.90; 0.40; ;   5.78; 0.22; ;   3.77; 1.15; ;   8.54; 1.50;HR   ;9,47            ;
UGC5101       ;  ;  0.91; 0.27; ;  34.13; 3.40; ;  2.57; 0.26; ;  13.66; 1.36; ;  5.57; 0.56; ;  2.82; 0.85; ;   7.35; 0.73; ;  15.50; 1.55; ;  32.10; 3.21;HR+LR;18,2,4,9,17,22  ;
IRAS09413+4843;  ;  2.27; 0.62; ;   4.81; 0.92; ;  3.96; 0.64; ;   5.58; 0.81; ;  1.95; 1.09; ;  2.49; 0.60; ;  10.70; 0.85; ;       ;     ; ;       ;     ;LR   ;47,35           ;
NGC3031       ;  ;  2.03; 1.53; ;  27.00; 2.70;<;  0.50;     ; ;  21.00; 2.10; ;  6.10; 0.30;<;  1.40;     ; ;   4.50; 0.45; ;   9.60; 0.65; ;  29.67; 0.72;HR   ;26,16,12,7      ;
3C234         ;  ;  2.86; 0.25;<;   1.29;     ; ;  2.35; 0.25; ;   3.40; 0.34;<;  1.65;     ; ;  2.91; 0.22; ;   8.97; 0.30; ;       ;     ; ;       ;     ;HR+LR;24,41           ;
NGC3079       ; <;  1.46;     ; ; 131.00; 6.00;<;  3.88;     ; ;  23.80; 0.33; ; 13.00; 0.73;<;  0.93;     ; ;   8.94; 1.06; ;  60.40; 5.02; ; 151.00; 7.09;HR+LR;9,26,16,47      ;
3C236         ; <;  0.13;     ; ;   0.92; 0.06; ;      ;     ; ;   0.44; 0.03;<;  0.14;     ; ;      ;     ;<;   0.14;     ;<;   0.09;     ; ;       ;     ;HR   ;21,13           ;
NGC3227       ;  ; 22.10; 0.55; ;  70.90; 0.25; ; 23.10; 0.75; ;  72.60; 0.62; ; 23.80; 1.63; ; 17.70; 2.05; ;  66.80; 1.76; ;  26.00; 9.41; ;  65.70; 4.18;HR+LR;9,8,44,26,11,47 ;
NGC3393       ;  ;  6.10; 0.30; ;   1.70; 0.10; ;  2.40; 0.10; ;   6.30; 0.10; ;  3.30; 0.10; ;  5.10; 0.20; ;  21.20; 0.70; ;   4.00; 0.40; ;   5.50; 1.50;HR   ;47              ;
NGC3516       ;  ; 13.33; 0.38; ;   8.07; 0.25; ;  7.88; 0.50; ;  17.72; 0.33; ;  5.86; 0.35; ; 10.39; 0.33; ;  46.92; 0.35;<;   1.29;     ; ;  22.14; 0.54;HR+LR;40,9,10,47      ;
IRAS11095-0238; <;  1.20;     ; ;   6.08; 0.61;<;  0.48;     ; ;   1.89; 0.19; ;  1.22; 0.24;<;  1.80;     ;<;   0.90;     ; ;       ;     ; ;       ;     ;HR   ;18,26           ;
NGC3607       ;  ;      ;     ; ;       ;     ; ;      ;     ; ;       ;     ; ;      ;     ; ;      ;     ; ;       ;     ; ;       ;     ; ;       ;     ;     ;                ;
