Zw468.002NED02;       ;     ;       ;    ; ;   9.44; 0.33; ;  10.67;0.14; ;       ;    ; ;      ;    ; ;  6.49; 0.17; ;3x3;
IRAS05189-2524;       ;     ;  13.93;0.23; ;  13.35; 0.32; ;  11.74;0.10; ;   8.53;0.07; ;  6.19;0.09; ;  4.93; 0.20; ;c  ;
NGC1961       ;       ;     ;       ;    ; ;   0.99; 0.21; ;   4.31;0.27; ;   8.30;0.18; ;      ;    ; ;  8.85; 0.20; ;3x3;
UGC3351       ;       ;     ;       ;    ; ;  16.39; 0.60; ;  28.91;0.42; ;  33.25;0.17; ;      ;    ; ; 30.23; 0.34; ;3x3;
ESO005-G04    ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ; 10.79;0.15; ;      ;     ; ;3x3;
Mrk3          ;   1.87; 1.62;   3.07;0.26; ;   3.91; 0.43; ;   2.44;0.19; ;   2.57;0.12; ;  2.64;0.08; ;  2.36; 0.08; ;3x3;
IRASF06361-621;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.53; 0.14; ;3x3;
Mrk620        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  6.69; 0.08; ;3x3;
IRAS07027-6011;       ;     ;       ;    ; ;   2.91; 0.25; ;   3.15;0.11; ;       ;    ; ;      ;    ; ;  2.13; 0.13; ;3x3;
AM0702-601NED0;       ;     ;       ;    ; ;   4.80; 0.40; ;   6.49;0.27; ;       ;    ; ;      ;    ; ;  4.76; 0.17; ;3x3;
Mrk9          ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.75; 0.08; ;3x3;
IRAS07598+6508;   0.35; 0.11;   0.53;0.15; ;   0.48; 0.07; ;       ;    ; ;   0.72;0.01; ;  0.54;0.01; ;  1.09; 0.21; ;3x3;
Mrk622        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  1.00; 0.24; ;3x3;
IRAS08311-2459;   4.18; 0.49;   5.60;0.25; ;   5.47; 0.38; ;       ;    ; ;   4.89;0.08; ;  3.63;0.10; ;  2.82; 0.06; ;3x3;
IRAS09104+4109;       ;     ;       ;    ; ;       ;     ; ;   0.30;0.03; ;   0.47;0.04; ;      ;    ; ;      ;     ; ;3x3;
3C218         ;       ;     ;       ;    ; ;   0.47; 0.11; ;   0.23;0.07; ;   0.21;0.02; ;  0.18;0.01; ;  0.13; 0.03; ;3x3;
MCG-01-24-012 ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  1.22; 0.15; ;3x3;
NGC2841       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;   1.41;0.05; ;      ;    ; ;  3.64; 0.25; ;c  ;
Mrk705        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.85; 0.16; ;3x3;
UGC5101       ;       ;     ;  11.83;0.32; ;  14.77; 0.62; ;  17.93;0.35; ;  18.92;0.23; ; 16.11;0.21; ; 14.66; 0.45; ;3x3;
IRAS09413+4843;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.25; 0.08; ;3x3;
NGC3031       ;       ;     ;       ;    ;<;   1.19;     ;<;   1.32;    ; ;   6.20;0.14; ;      ;    ; ;      ;     ; ;3x3;
3C234         ;       ;     ;       ;    ; ;   0.29; 0.05; ;   0.11;0.06; ;       ;    ; ;      ;    ;<;  0.35;     ; ;3x3;
NGC3079       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ; 60.61; 0.70; ;3x3;
3C236         ;       ;     ;       ;    ;<;   0.52;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.07; 0.02; ;3x3;
NGC3227       ;       ;     ;   5.27;0.11; ;   5.56; 0.20; ;   6.68;0.18; ;   7.27;0.11; ;  6.62;0.10; ;  6.03; 0.20; ;c  ;
NGC3393       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  1.71; 0.26; ;3x3;
NGC3516       ;       ;     ;       ;    ; ;   2.31; 0.18; ;   0.35;0.35; ;   1.57;0.10; ;  1.18;0.11; ;  0.89; 0.14; ;3x3;
IRAS11095-0238;   3.26; 0.12;   3.11;0.11; ;   2.87; 0.12; ;       ;    ; ;   1.65;0.04; ;  1.18;0.05; ;  0.94; 0.07; ;c  ;
NGC3607       ;       ;     ;       ;    ; ;   1.31; 0.29; ;       ;    ; ;   4.26;0.07; ;      ;    ; ;  4.23; 0.11; ;3x3;
NGC3621       ;       ;     ;       ;    ; ;  18.70; 0.72; ;  10.85;0.35; ;       ;    ; ;      ;    ; ;      ;     ; ;3x3;
NGC3627       ;       ;     ;       ;    ; ;  13.55; 0.42; ;  20.68;0.24; ;  24.46;0.22; ; 20.95;0.21; ; 17.40; 0.77; ;3x3;
NGC3783       ;       ;     ;   2.35;0.11; ;   2.72; 0.23; ;   2.14;0.18; ;   2.92;0.08; ;  2.58;0.01; ;  2.74; 0.14; ;3x3;
NGC3982       ;       ;     ;   3.98;0.35; ;   4.83; 0.40; ;   6.98;0.23; ;   9.42;0.20; ;  8.83;0.12; ;  7.86; 0.64; ;3x3;
NGC4051       ;       ;     ;   2.37;0.20; ;   2.57; 0.22; ;   3.71;0.12; ;   4.97;0.06; ;  4.84;0.06; ;  4.69; 0.15; ;3x3;
IRAS12018+1941;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.57; 0.11; ;3x3;
UGC7064       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  2.67; 0.17; ;3x3;
IRAS12071-0444;   2.71; 0.25;   2.48;0.14; ;   2.66; 0.16; ;       ;    ; ;   1.72;0.02; ;  1.24;0.03; ;  1.05; 0.06; ;3x3;
NGC4151       ;   4.81; 0.49;   5.05;0.10; ;   5.63; 0.21; ;   4.30;0.22; ;   3.77;0.07; ;  3.00;0.04; ;  2.75; 0.17; ;3x3;
NGC4303       ;       ;     ;       ;    ; ;   4.55; 0.36; ;   8.43;0.27; ;  12.00;0.17; ; 11.51;0.11; ;      ;     ; ;3x3;
NGC4388       ;       ;     ;   5.64;0.35; ;   6.26; 0.40; ;   7.98;0.33; ;   9.22;0.17; ;  9.23;0.16; ;  8.66; 0.27; ;3x3;
NGC4418       ;  29.50; 1.93;  48.97;0.29; ;  46.45; 0.48; ;  38.26;0.54; ;  28.38;0.14; ; 21.35;0.06; ; 17.58; 0.19; ;3x3;
3C273         ;   0.58; 0.06;   0.38;0.04; ;   0.46; 0.05; ;   0.56;0.39; ;   0.39;0.02; ;  0.39;0.01; ;  0.38; 0.05; ;c  ;
NGC4486       ;       ;     ;       ;    ;<;   0.54;     ; ;       ;    ; ;       ;    ;<;  0.07;    ;<;  0.08;     ; ;3x3;
NGC4507       ;       ;     ;       ;    ; ;   4.47; 0.17; ;   3.15;0.27; ;   4.00;0.10; ;  3.62;0.08; ;  2.92; 0.16; ;3x3;
NGC4569       ;       ;     ;       ;    ; ;       ;     ; ;  29.23;0.28; ;  41.94;0.24; ;      ;    ; ;  1.71; 0.63; ;3x3;
NGC4579       ;       ;     ;       ;    ; ;       ;     ; ;  70.17;0.72; ;       ;    ; ;      ;    ; ; 12.97; 0.24; ;3x3;
NGC4593       ;       ;     ;   1.85;0.07; ;   1.97; 0.11; ;   2.18;0.06; ;   2.42;0.03; ;  2.25;0.04; ;  2.10; 0.07; ;c  ;
NGC4594       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;      ;     ; ;3x3;
IC3639        ;       ;     ;   5.42;0.41; ;   6.01; 0.41; ;   6.38;0.25; ;   7.22;0.19; ;  6.58;0.10; ;  6.79; 1.09; ;3x3;
NGC4636       ;       ;     ;       ;    ; ;   0.60; 0.13; ;       ;    ; ;       ;    ; ;  0.17;0.03; ;  0.26; 0.05; ;3x3;
PG1244+026    ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ;<;  0.35;     ; ;3x3;
NGC4696       ;       ;     ;       ;    ;<;   0.82;     ;<;   0.37;    ; ;   0.32;0.02; ;  0.37;0.04; ;  0.53; 0.13; ;3x3;
NGC4725       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;  49.26;0.54; ;      ;    ; ;      ;     ; ;3x3;
NGC4736       ;       ;     ;       ;    ; ;   8.90; 0.50; ;  28.03;0.41; ;  27.52;0.15; ; 21.95;0.13; ; 26.28; 0.80; ;3x3;
Mrk231        ;  34.22; 1.05;  34.96;0.44; ;  35.44; 0.32; ;  31.17;0.25; ;  23.69;0.18; ; 17.91;0.26; ; 15.97; 0.40; ;3x3;
NGC4826       ;       ;     ;       ;    ; ;  28.65; 0.70; ;  42.43;0.45; ;  52.26;0.64; ; 48.94;0.28; ; 65.73; 1.36; ;3x3;
NGC4922       ;       ;     ;       ;    ; ;   6.80; 0.24; ;   7.90;0.24; ;       ;    ; ;      ;    ; ;  5.21; 0.21; ;3x3;
NGC4941       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.99; 0.14; ;3x3;
NGC4945       ; 243.62; 7.27; 485.75;1.76; ; 614.65; 2.27; ; 954.48;7.74; ;1073.25;0.87; ;933.28;2.96; ;797.67; 5.81; ;3x3;
ESO323-G77    ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  7.44; 0.24; ;3x3;
NGC5033       ;       ;     ;   6.46;0.17; ;   8.01; 0.18; ;  16.05;0.27; ;  25.26;0.16; ; 24.83;0.07; ; 23.52; 0.20; ;3x3;
IRAS13120-5453;       ;     ;  40.90;0.25; ;  46.02; 0.77; ;  53.78;0.58; ;  48.82;0.25; ; 37.79;0.29; ; 33.53; 0.40; ;3x3;
MCG-03-34-064 ;       ;     ;       ;    ; ;   5.52; 0.34; ;   5.09;0.16; ;       ;    ; ;      ;    ; ;  2.94; 0.20; ;3x3;
CentaurusA    ;  25.98; 3.53;  43.85;0.78; ;  51.28; 1.69; ;  80.06;0.88; ;  95.72;0.32; ; 85.55;0.33; ; 80.86; 1.46; ;3x3;
NGC5135       ;       ;     ;       ;    ; ;  19.48; 0.53; ;  29.05;0.46; ;       ;    ; ; 27.69;0.10; ; 26.13; 0.67; ;3x3;
