Mrk334         ; ;       ;      ; ;       ;      ; ;        ;      ; ;       ;      ; ;       ;     ; ;       ;      ; ;   66.56;  0.88;c  ;
Mrk334         ; ;       ;      ; ;       ;      ; ;        ;      ; ;       ;      ; ;       ;     ; ;       ;      ; ;   76.66;  1.77;3x3;
Mrk334         ; ;       ;      ; ;       ;      ; ;        ;      ; ;       ;      ; ;       ;     ; ;       ;      ; ;   68.98;  1.37;5x5;
Mrk938         ; ;       ;      ; ;       ;      ; ;   65.41;  4.45; ;  12.58;  2.38; ;       ;     ; ;   5.26;  0.38; ;   65.95;  1.86;c  ;
Mrk938         ; ;       ;      ; ;       ;      ; ;   78.12;  6.36; ;  19.24;  3.58; ;       ;     ; ;   5.26;  0.92; ;   82.15;  1.51;3x3;
Mrk938         ; ;       ;      ; ;       ;      ; ;   71.14;  5.27; ;  21.49;  5.71; ;       ;     ; ;   3.88;  1.13; ;   78.59;  2.67;5x5;
IRAS00182-7112 ; ;       ;      ; ;       ;      ; ;    7.10;  1.67;<;   2.04;      ; ;       ;     ; ;       ;      ; ;        ;      ;c  ;
IRAS00182-7112 ; ;       ;      ; ;       ;      ;<;    9.73;      ;<;   1.50;      ; ;       ;     ; ;       ;      ; ;        ;      ;3x3;
IRAS00182-7112 ; ;       ;      ; ;       ;      ; ;   10.49;  6.69;<;   2.12;      ; ;       ;     ; ;       ;      ; ;        ;      ;5x5;
IRAS00198-7926 ; ;       ;      ; ;       ;      ; ;   17.69;  1.67; ;  18.56;  2.21; ;       ;     ; ;       ;      ; ;   20.86;  0.53;c  ;
IRAS00198-7926 ; ;       ;      ; ;       ;      ; ;   22.63;  5.16; ;  12.51;  4.50; ;       ;     ; ;       ;      ; ;   32.64;  1.75;3x3;
IRAS00198-7926 ; ;       ;      ; ;       ;      ;<;   23.23;      ; ;  25.72;  5.68; ;       ;     ; ;       ;      ; ;   25.59;  1.16;5x5;
NGC185         ; ;       ;      ; ;       ;      ; ;    1.45;  0.33; ;       ;      ; ;       ;     ; ;       ;      ; ;    2.74;  0.13;c  ;
NGC185                ; ;       ;      ; ;       ;      ; ;    2.16;  0.77; ;       ;      ; ;       ;     ; ;       ;      ; ;    8.14;  0.32;3x3;
NGC185                ; ;       ;      ; ;       ;      ;<;    6.62;      ; ;       ;      ; ;       ;     ; ;       ;      ; ;   10.26;  0.53;5x5;
ESO012-G21     ; ;       ;      ; ;       ;      ; ;        ;      ; ;       ;      ; ;       ;     ; ;       ;      ; ;   50.30;  0.38;c  ;
