NGC1386        ; 3;36;46.2043;-;35;59;57.2964; 0.0028950;  15.300;12;S1h  ; ;41.60;Y;21; ;39.99; ;39.99; ;40.47;1.500;0.500;15;ESO358-G35        ;
IRAS03450+0055 ; 3;47;40.1952;+; 1; 5;13.9992; 0.0310000;  90.400;36;S1.5 ; ;     ; ;  ;<;40.16;<;40.26; ;40.39;     ;     ;  ;                  ;
IRAS04103-2838 ; 4;12;19.4510;-;28;30;24.9876; 0.1174640;        ;  ;LIN  ; ;42.04;N;60; ;41.92; ;42.01; ;42.15;     ;     ;  ;LEDA097515        ;
ESO420-G13     ; 4;13;49.6872;-;32; 0;25.0884; 0.0119080;        ;  ;S2   ; ;     ; ;  ; ;40.53; ;40.66; ;41.17;     ;     ;  ;MCG-05-11-006     ;
3C120          ; 4;33;11.0940;+; 5;21;15.7104; 0.0330100;        ;  ;S1.5 ; ;44.04;N;57; ;41.58; ;41.83; ;42.45;     ;     ;  ;Mrk1506           ;
MCG-05-12-006  ; 4;52; 4.9634;-;32;59;25.7352; 0.0187530;        ;  ;LIN  ; ;     ; ;  ;<;39.84; ;     ;<;40.28;     ;     ;  ;IRAS04501-3304    ;
IRAS05024-1941 ; 5; 4;36.5395;-;19;37; 3.1332; 0.1920000;        ;  ;S2   ; ;42.60;N;62; ;41.03; ;41.51; ;41.60;     ;     ;  ;LEDA2816449       ;
Zw468.002NED01 ; 5; 8;19.6894;+;17;21;48.1356; 0.0175050;        ;  ;S2   ; ;     ; ;  ; ;40.19; ;     ; ;40.76;     ;     ;  ;CGCG468-002W      ;
Zw468.002NED02 ; 5; 8;21.2146;+;17;22; 8.0400; 0.0168420;        ;  ;S2   ; ;     ; ;  ;<;39.71; ;     ;<;40.07;     ;     ;  ;CGCG468-002E      ;
IRAS05189-2524 ; 5;21; 1.3966;-;25;21;45.2772; 0.0425630;        ;  ;S1h  ; ;43.25; ;61; ;41.70; ;41.59; ;42.01;     ;     ;  ;                  ;
NGC1961        ; 5;42; 4.6459;+;69;22;42.4704; 0.0131220;  63.200;33;LIN  ; ;40.31; ;26;<;39.28; ;     ; ;39.47;     ;     ;  ;IC2133            ;
UGC3351        ; 5;45;47.8942;+;58;42; 3.9312; 0.0148600;  48.800;27;S2   ; ;     ; ;  ;<;39.46; ;     ; ;39.61;     ;     ;  ;MCG+10-09-002     ;
ESO005-G04     ; 6; 5;41.3597;-;86;37;54.1956; 0.0062280;  24.200;27;S2   ; ;41.90;Y;21; ;38.54;<;38.54; ;39.50;     ;     ;  ;IRAS06220-8636    ;
Mrk3           ; 6;15;36.4104;+;71; 2;14.9388; 0.0135090;  57.900;29;S1h  ; ;42.42;Y;10; ;41.40; ;41.39; ;41.90;1.150;     ; 3;UGC03426          ;
IRASF06361-6217; 6;36;35.8613;-;62;20;33.5436; 0.1595970;        ;  ;LIN  ; ;     ; ;  ;<;41.15;<;41.64;<;41.62;     ;     ;  ;                  ;
Mrk620         ; 6;50; 8.6539;+;60;50;44.7936; 0.0061380;  28.900;29;S1h  ; ;     ; ;  ; ;39.68; ;     ; ;     ;     ;     ;  ;NGC2273           ;
IRAS07027-6011 ; 7; 3;24.2563;-;60;15;22.4136; 0.0313220;        ;  ;S2   ; ;     ; ;  ; ;40.69;<;40.94; ;40.99;     ;     ;  ;AM0702-601N       ;
AM0702-601NED02; 7; 3;28.6291;-;60;16;44.3568; 0.0311050;        ;  ;S2   ; ;     ; ;  ;<;40.10;<;40.39;<;40.34;     ;     ;  ;AM0702-601S       ;
Mrk9           ; 7;36;57.0348;+;58;46;13.4724; 0.0398740;        ;  ;S1.5 ; ;43.28;N;68; ;40.88; ;40.88; ;41.28;     ;     ;  ;CGCG286-036       ;
IRAS07598+6508 ; 8; 4;30.4843;+;64;59;52.6668; 0.1483000;        ;  ;S1.0 ; ;41.75;N;27;<;41.61;<;42.22;<;42.00;     ;     ;  ;                  ;
Mrk622         ; 8; 7;41.0030;+;39; 0;15.2424; 0.0232290;        ;  ;S2   ; ;     ; ;  ;<;40.63;<;40.53;<;40.63;1.000;     ; 3;UGC4229           ;
IRAS08311-2459 ; 8;33;20.5961;-;25; 9;33.8220; 0.1004490;        ;  ;S1h  ; ;     ; ;  ; ;42.46; ;42.37; ;42.79;     ;     ;  ;                  ;
IRAS09104+4109 ; 9;13;45.4591;+;40;56;28.2516; 0.4421980;        ;  ;S2   ; ;44.90;N;49; ;     ; ;     ; ;     ;     ;     ;  ;                  ;
3C218          ; 9;18; 5.6477;-;12; 5;43.5552; 0.0538410;        ;  ;LIN  ; ;42.15;N;19; ;     ; ;     ; ;40.80;     ;     ;  ;Hydra A           ;
MCG-01-24-012  ; 9;20;46.2653;-; 8; 3;21.9564; 0.0196440;        ;  ;S2   ; ;43.45;N;57; ;40.37; ;40.27; ;40.91;     ;     ;  ;IRAS09182-0750    ;
NGC2841        ; 9;22; 2.6906;+;50;58;35.6232; 0.0021280;  17.000;13;LIN  ; ;39.50;N;19;<;38.14;<;38.03; ;38.38;2.000;0.400;13;UGC04966          ;
Mrk705         ; 9;26; 3.2729;+;12;44; 3.8616; 0.0291510;        ;  ;S1.2 ; ;43.41;N;58; ;40.73; ;40.53; ;41.01;     ;     ;  ;UGC05025          ;
UGC5101        ; 9;35;51.5976;+;61;21;11.7072; 0.0393670;        ;  ;S1   ; ;42.15;Y;19; ;40.93; ;40.97; ;41.39;2.710;0.710;18;MCG+10-14-025     ;
IRAS09413+4843 ; 9;44;42.2263;+;48;29;16.6308; 0.0553030;        ;  ;S2   ; ;     ; ;  ; ;41.42; ;41.22; ;41.86;     ;     ;  ;LEDA2318591       ;
NGC3031        ; 9;55;33.1582;+;69; 3;55.0512;-0.0001130;   3.630; 8;LINb ; ;40.33;N;11;<;36.90;<;37.34; ;37.85;0.780;0.040;13;M81               ;
3C234          ;10; 1;49.5324;+;28;47; 8.8836; 0.1849250;        ;  ;S1.9 ; ;44.48;N;50; ;42.32; ;42.42; ;42.90;     ;     ;  ;LEDA139234        ;
NGC3079        ;10; 1;57.8491;+;55;40;47.5752; 0.0037230;  16.500;31;LIN  ; ;42.10;Y;21;<;39.10;<;38.48; ;39.46;0.760;0.200; 4;UGC05387          ;
3C236          ;10; 6; 1.7378;+;34;54;10.4832; 0.1005000;        ;  ;LIN  ;<;42.82; ;39; ;     ; ;     ;<;40.52;     ;     ;  ;4C+35.22          ;
NGC3227        ;10;23;30.5710;+;19;51;54.2952; 0.0038590;  14.500;36;S1.5 ; ;42.02;N;57; ;39.76; ;39.65; ;40.23;0.900;0.100;13;UGC05620          ;
NGC3393        ;10;48;23.4595;-;25; 9;43.4160; 0.0125090;        ;  ;S2   ; ;42.90;Y;21; ;39.89; ;40.22; ;40.83;1.000;     ; 3;ESO501-G100       ;
NGC3516        ;11; 6;47.4667;+;72;34; 7.1364; 0.0088360;  66.100;36;S1.5 ; ;43.12;N; 6; ;40.61; ;40.73; ;41.39;     ;     ;  ;UGC06153          ;
IRAS11095-0238 ;11;12; 3.3701;-; 2;54;22.7232; 0.1066340;        ;  ;LIN  ; ;41.72;N;62;<;41.11;<;41.68;<;41.38;     ;     ;  ;LEDA125693        ;
NGC3621        ;11;18;15.8839;-;32;48;46.0584; 0.0024350;   6.760;26;S2   ; ;39.30;N;21; ;37.20; ;37.46; ;38.19;0.980;0.040;13;ESO377-G37        ;
NGC3627        ;11;20;14.9875;+;12;59;29.7528; 0.0024250;  10.100; 3;LIN  ; ;39.38;N;19; ;37.56; ;37.76; ;38.39;0.550;     ; 6;M66               ;
NGC3783        ;11;39; 1.7114;-;37;44;18.9780; 0.0097300;  38.500;30;S1.5 ; ;43.03;N;41; ;40.54; ;40.39; ;40.84;1.480;0.300; 5;ESO378-G14        ;
NGC3982        ;11;56;28.1167;+;55; 7;30.9756; 0.0036990;  21.900;22;S1.9 ; ;41.24; ;46; ;39.22; ;38.97; ;39.47;1.510;     ; 3;UGC06918          ;
NGC4051        ;12; 3; 9.6017;+;44;31;52.7484; 0.0023360;  17.600;36;S1n  ; ;41.58; ; 6; ;39.64; ;39.50; ;40.15;     ;     ;  ;UGC07030          ;
IRAS12018+1941 ;12; 4;24.5484;+;19;25;10.0236; 0.1680000;        ;  ;S2   ; ;     ; ;  ;<;41.58;<;41.95;<;42.09;     ;     ;  ;                  ;
UGC7064        ;12; 4;43.3190;+;31;10;37.8804; 0.0249970;        ;  ;S1.9 ; ;     ; ;  ; ;40.74; ;40.83; ;41.26;     ;     ;  ;MCG+05-29-005     ;
IRAS12071-0444 ;12; 9;45.1171;-; 5; 1;13.9728; 0.1283550;        ;  ;S2   ; ;41.15;N;60; ;42.06; ;42.17; ;42.42;     ;     ;  ;LEDA090164        ;
NGC4151        ;12;10;32.5812;+;39;24;21.0564; 0.0033190;  19.000;10;S1.5 ; ;43.44;N;41; ;40.51; ;40.46; ;41.02;0.820;0.220;18;UGC07166          ;
NGC4303        ;12;21;54.9247;+; 4;28;25.7520; 0.0052240;  19.300;23;LIN  ; ;39.44;N;66; ;     ; ;     ; ;     ;1.230;0.090;13;M61               ;
